"wife_work" "wife_age" "wife_edu" "husband_edu" "children" "husband_job" "living_index"
"1" 23 "3" "4" 1 "2" "3"
"1" 34 "2" "4" 7 "2" "3"
"1" 27 "2" "4" 1 "3" "3"
"1" 37 "4" "4" 4 "3" "2"
"1" 26 "3" "4" 4 "2" "3"
"1" 31 "2" "3" 7 "3" "3"
"1" 44 "4" "4" 11 "1" "4"
"1" 35 "3" "4" 4 "1" "4"
"1" 23 "4" "4" 2 "3" "4"
"1" 24 "2" "4" 2 "1" "4"
"1" 24 "4" "4" 2 "1" "4"
"1" 39 "4" "4" 3 "2" "4"
"1" 33 "3" "4" 4 "3" "3"
"1" 24 "2" "3" 2 "2" "1"
"1" 35 "4" "4" 4 "1" "4"
"1" 35 "4" "4" 6 "1" "4"
"1" 34 "4" "4" 2 "3" "3"
"1" 48 "3" "4" 3 "2" "3"
"1" 28 "4" "4" 1 "1" "3"
"1" 26 "4" "4" 1 "3" "3"
"1" 43 "3" "3" 8 "1" "3"
"1" 22 "3" "4" 3 "2" "3"
"1" 26 "3" "3" 3 "3" "3"
"1" 30 "3" "4" 4 "3" "3"
"1" 38 "4" "4" 5 "2" "3"
"1" 44 "4" "4" 8 "2" "4"
"1" 25 "4" "4" 1 "1" "4"
"1" 34 "4" "4" 3 "1" "4"
"1" 26 "4" "4" 3 "3" "4"
"1" 20 "4" "4" 2 "1" "3"
"1" 39 "4" "4" 2 "1" "3"
"1" 27 "3" "4" 4 "3" "3"
"1" 39 "4" "3" 4 "3" "4"
"1" 25 "4" "4" 2 "1" "3"
"1" 37 "4" "4" 3 "2" "4"
"1" 40 "4" "4" 4 "1" "4"
"1" 38 "4" "4" 6 "2" "4"
"1" 36 "4" "4" 4 "1" "4"
"1" 27 "3" "3" 3 "2" "2"
"1" 22 "1" "3" 2 "3" "1"
"1" 22 "2" "2" 2 "2" "3"
"1" 30 "3" "4" 3 "2" "3"
"1" 20 "2" "2" 2 "3" "2"
"1" 34 "4" "4" 2 "1" "4"
"1" 31 "3" "4" 5 "3" "1"
"1" 19 "4" "4" 2 "1" "4"
"1" 28 "4" "4" 5 "2" "4"
"1" 29 "3" "3" 3 "2" "1"
"1" 37 "4" "4" 3 "2" "4"
"1" 32 "2" "2" 8 "2" "1"
"1" 21 "2" "2" 1 "4" "3"
"1" 23 "2" "3" 2 "3" "1"
"1" 36 "2" "2" 5 "3" "4"
"1" 33 "2" "4" 3 "3" "4"
"1" 25 "2" "3" 4 "3" "3"
"1" 23 "3" "3" 1 "2" "2"
"1" 19 "3" "3" 1 "2" "1"
"1" 35 "1" "2" 6 "2" "2"
"1" 25 "3" "3" 3 "3" "2"
"1" 40 "3" "4" 6 "1" "3"
"1" 17 "3" "4" 1 "2" "1"
"1" 25 "2" "4" 3 "3" "3"
"1" 24 "3" "3" 1 "3" "2"
"1" 23 "4" "4" 1 "3" "3"
"1" 25 "2" "4" 3 "3" "2"
"1" 30 "1" "3" 4 "3" "4"
"1" 31 "1" "1" 3 "4" "2"
